"","Ozone","Solar.R","Wind","Temp","Month","Day"
"62",135,269,4.1,84,7,1
"63",49,248,9.2,85,7,2
"64",32,236,9.2,81,7,3
"65",NA,101,10.9,84,7,4
"66",64,175,4.6,83,7,5
"67",40,314,10.9,83,7,6
"68",77,276,5.1,88,7,7
"69",97,267,6.3,92,7,8
"70",97,272,5.7,92,7,9
"71",85,175,7.4,89,7,10
"72",NA,139,8.6,82,7,11
"73",10,264,14.3,73,7,12
"74",27,175,14.9,81,7,13
"75",NA,291,14.9,91,7,14
"76",7,48,14.3,80,7,15
"77",48,260,6.9,81,7,16
"78",35,274,10.3,82,7,17
"79",61,285,6.3,84,7,18
"80",79,187,5.1,87,7,19
"81",63,220,11.5,85,7,20
"82",16,7,6.9,74,7,21
"83",NA,258,9.7,81,7,22
"84",NA,295,11.5,82,7,23
"85",80,294,8.6,86,7,24
"86",108,223,8,85,7,25
"87",20,81,8.6,82,7,26
"88",52,82,12,86,7,27
"89",82,213,7.4,88,7,28
"90",50,275,7.4,86,7,29
"91",64,253,7.4,83,7,30
"92",59,254,9.2,81,7,31
